name;year;genre;director;cast;rating;votes
Book of Azrael;;*Horror*;Rituparna DasDatta;*Sahidur Rahaman,Kalpana Jha,Mishka Halim*;;
Boom;2003;*Crime, Thriller*;Kaizad Gustad;*Amitabh Bachchan,Jackie Shroff,Gulshan Grover*;2.3;"1;361"
Boom Boom Wale;2015;*Adventure, Comedy*;Manish Pandya;*Ankush Deshmukh,Siddhartha Mishra,*;;
Boond;2001;*Action, Crime, Drama*;Inayat Mahshar;*Navin Berry,Pankaj Berry,Birbal*;4.2;10
Boond Jo Ban Gayee Moti;1967;*Crime, Drama, Romance*;Shantaram Rajaram Vankudre;*Jeetendra,Mumtaz,Akashdeep*;6.8;31
Boondi Raita;;*Drama*;Kamal Chandra;*Sonnalli Seygall,Rajesh Sharma,Shilpa Shinde*;;
Boot Polish;1954;*Comedy, Drama, Family*;Prakash Arora;*Kumari Naaz,Ratan Kumar,David Abraham*;8;780
Border;1997;*Action, Drama, History*;J.P. Dutta;*Sunny Deol,Sunil Shetty,Akshaye Khanna*;7.9;"14;399"
Border Hindustan Ka;2003;*Action, Romance*;Yogesh Bharadwaj;*Faisal Khan,Rajat Bedi,Aditya Pancholi*;5.1;83
Border Kashmir;2002;*Action*;Teerat Singh;*Dharmendra,Dinesh Hingoo,Anjali Kholapure*;2.9;7
Borderlands;2021;*Documentary*;Samarth Mahajan;*,,*;9;7
Borivali Ka Bruce Lee;;*Comedy*;Ashutosh Warang;*Ayesha Takia,Ashwin Mushran,Supriya Pilgaonkar*;;
Boss;1989;*Action*;Mithun Chakraborty;*Kiran Kumar,,*;;
Boss;2013;*Action, Comedy, Crime*;Anthony D'Souza;*Akshay Kumar,Shiv Panditt,Mithun Chakraborty*;5.1;"10;583"
Box;2016;*Thriller*;Avijit Bose;*Dibyendu Bhattacharya,,*;;
Boxed;2021;*Adventure*;Mohd Feroz Qureshi;*Mantosh Kumar,Jahina Mulla Qureshi,Mohd Feroz Qureshi*;6.4;10
Boxer;1965;*Drama*;Radhakant;*Dara Singh,Mumtaz,Azaad Irani*;7.5;13
Boxer;1984;*Action, Drama, Sport*;Raj N. Sippy;*Tanuja,Mithun Chakraborty,Rati Agnihotri*;6.2;126
Boxer;;*Drama*;Vivek;*Arun Vijay,Ritika Singh,Sanjjanaa Galrani*;;
Boy Friend;1961;*Drama, Romance*;Naresh Saigal;*Shammi Kapoor,Madhubala,Nishi*;7.6;60
Boy Friend;1993;*Romance*;Ramesh U. Lakhiani;*Sheeba,Ravi Behl,Kiran Kumar*;4.4;8
Boyfriend.com;2018;*Drama*;Robin Chourasia;*Deepti,Ajay Kumar,Swapna Pati*;;
Boys Who Like Girls;2018;*Documentary*;Inka Acht�;*Aspar Husain,Vedprakash Jaiswal,Harish Sadani*;6.9;19
Boyss Toh Boyss Hain;2013;*Comedy*;Amit Vats;*Gulshan Grover,Rajkummar Rao,Anshuman Jha*;5.5;43
Brahma;1994;*Crime, Drama, Mystery*;K. Subhash;*Govinda,Madhoo,Ayesha Jhulka*;5.1;38
Brahma Vishnu Mahesh;1971;*Fantasy*;Babubhai Mistry;*Mahipal,Uma,Trilok Kapoor*;;
Brahmachari;1968;*Comedy, Drama, Musical*;Bhappi Sonie;*Shammi Kapoor,Rajshree,Pran*;6.9;366
Brahmachari;1938;**;Master Vinayak;*Master Vinayak,Meenaxi,V.G. Jog*;;
Brahmarshi Vishwamitra;1991;*Drama, Musical*;N.T. Rama Rao;*N.T. Rama Rao,Nandamuri Balakrishna,Bhanupriya*;7.3;50
Brahmastra;2021;*Action, Adventure, Fantasy*;Ayan Mukherjee;*Dian Hristov,Dimple Kapadia,Amitabh Bachchan*;;
Brainwashed;2019;*Biography*;Arjun Rao;*Rajesh Bonik,Ijaz Khan,Sanam Khan*;;
Brandy Ki Botal;1939;**;Master Vinayak;*Master Vinayak,V.G. Jog,Salvi*;;
Break Ke Baad;2010;*Comedy, Drama, Romance*;Danish Aslam;*Deepika Padukone,Shahana Goswami,Sharmila Tagore*;5.2;"4;033"
Breakaway;2011;*Comedy, Drama, Sport*;Robert Lieberman;*Vinay Virmani,Camilla Belle,Russell Peters*;5.7;"2;237"
Breaking All the Way;2018;*Documentary*;Sunita Malpani;*Bboy NeverMind,Bboy Hardluck,Bgirl ShawtyPink*;;
Breaking Free;2015;*Documentary, Crime, History*;Sridhar Rangayan;*Vivek Anand,Manohar Elavarthi,Anand Grover*;6.3;33
Breakup;2018;*Romance*;Munna Rizvi;*Sahil Akhtar,Kuwar Aziz,Sheetal Kale*;;
Breathtaken...;;*Animation, Action, Adventure*;;*,,*;;
Breed;2020;*Drama*;Bobby Kumar;*Bobby Kumar,Ashfaq,Fasih Choudhry*;9.6;48
Bride & Prejudice;2004;*Comedy, Drama, Musical*;Gurinder Chadha;*Martin Henderson,Aishwarya Rai Bachchan,Nadira Babbar*;6.2;"20;125"
Bride: The Dulhan;2005;*Thriller*;;*,,*;;
Bridge of illusion;;*Thriller*;Santosh Ojha;*Rahat Kazmi,Prakriti Nautiyal,Ramkishan Gurjar*;;
Brij Bhoomi;1982;*Action*;Shiv Kumar;*Bharti Achrekar,Tom Alter,Aruna Irani*;;
Brij Kau Birju;2003;**;Siddharth Nagar;*Jharna Dave,Ayush Pandey,Shweta Rastogi*;;
Brij Sundari;1989;*Drama*;;*,,*;;
Brina;2016;*Drama*;Pawan Kumar Sharma;*Mandakini Goswami,Rajesh Jais,Sanjay Mishra*;7.5;8
Bring Back Bihar;2009;*Documentary*;Nitin Chandra;*Avatar Tulsi,,*;;
Brochevarevarura Hindi Remake;;*Drama*;Karan Deol;*,,*;;
Brojaan;;*Drama*;;*,,*;;
Broken Wings;;*Drama*;Shenpenn Khymsar;*Sunakshi Grover,Vinay Pathak,Neetu Pande*;;
"Brother; Superhit!";2018;*Action, Comedy, Drama*;Neeraj Pathak;*Sunny Deol,Preity Zinta,Arshad Warsi*;3.9;554
Brothers;2015;*Action, Drama, Sport*;Karan Malhotra;*Akshay Kumar,Sidharth Malhotra,Jackie Shroff*;6.5;"12;018"
Brunie;;*Romance*;Suraj Chitre;*Saaikat Bagbaan,Rahul Kumar,Raayo S. Bakhirta*;;
Bub (Father);2001;*Drama*;Jyoti Sarup;*K.K. Raina,Kuber Sarup,Virendra Razdan*;7.6;17
Bubble Gum;2011;*Drama*;Sanjivan Lal;*Apoorva Arora,Tanvi Azmi,Delzad Hiwale*;7.3;456
Buchcha;2017;*Adventure, Drama, Family*;Pankaj Kumar;*Shabana Afreen,Dharmendra Ahirwar,Pooja Bharti*;7.2;6
Bud Naseeb;1986;*Drama*;Shiv Kumar;*Ahalya,Bhakti Bhansali,Krishan Bhutani*;;
Buddha 1936;1936;*Drama*;John Hunt;*,,*;;
Buddha in a Traffic Jam;2016;*Crime, Thriller*;Vivek Agnihotri;*Aanchal Dwivedi,Mahie Gill,Pallavi Joshi*;6.7;"2;346"
Buddha Mar Gaya;2007;*Comedy*;Rahul Rawail;*Mona Ambegaonkar,Jitender Bhargava,Birbal*;2.6;356
Buddha Mil Gaya;1971;*Musical, Mystery, Drama*;Hrishikesh Mukherjee;*Navin Nischol,Om Prakash,Archana*;7;244
Buddha.mov;2017;**;Kabir Mehta;*,,*;6.7;33
Buddhu Aur DCM;1959;*Documentary*;Kantilal Rathod;*,,*;;
Budhayaan;;*Adventure, Drama, Sci-Fi*;Vishwanath Batchu;*Sagar,Pawan,*;;
Budhia Singh: Born to Run;2016;*Biography, Drama, Sport*;Soumendra Padhi;*Manoj Bajpayee,Mayur Mahendra Patole,Gajraj Rao*;7.6;"1;393"
Budtameez;1966;*Comedy, Drama, Romance*;Manmohan Desai;*Shammi Kapoor,Sadhana,Laxmi Chhaya*;7.4;78
Bulandi;2000;*Action, Drama*;Rama Rao Tatineni;*Anil Kapoor,Rekha,Raveena Tandon*;5.4;633
Bulandi;1945;*Drama*;Nitin Bose;*Nalini Jaywant,Ashok Kumar,*;;
Bulbbul;2020;*Drama, Horror, Mystery*;Anvita Dutt;*Tripti Dimri,Avinash Tiwary,Rahul Bose*;6.6;"10;143"
Bulbul Can Sing;2018;*Drama*;Rima Das;*Pakija Begam,Arnali Das,Manabendra Das*;6.8;323
Bulbul Tarang;;*Comedy, Drama, Romance*;Shree Narayan Singh;*Sonakshi Sinha,Tahir Raj Bhasin,Raj Babbar*;;
Bulbule;2020;*Thriller*;Manpreet Dhami;*Jasmeet Singh Bhatia,Sachin K. Jaryal,*;;
Bulbule;2014;*Comedy*;Jagat Joon;*Md. Faiz Alam,Amaresh Banerjee,Anubhav Dixit*;7.8;25
Bulbule Baghdad;1941;*Adventure, Fantasy, Romance*;K. Amarnath;*Indurani,Gulab,Jayant*;;
Bulbule Baghdad;1932;**;Nanubhai Vakil;*Khatun,Sushila,*;;
Bulbule Iran;1936;**;F.R. Irani;*Mahajbin,,*;;
Bulbule Paristan;1934;**;Dhirubhai Desai;*Bhim,Maruti Rao,Udwadia*;;
Bulbule Punjab;1933;**;Nanubhai Vakil;*Zubeida,Shahu Modak,Master Dinkar*;;
Bull BulBul Bandook;2013;*Action, Romance, Western*;Karan Butani;*Dheerendra Dwivedi,Kay Kay Menon,Shriya Saran*;4.8;17
Bulldog;1937;**;Dwarka Khosla;*Indubala,Indurani,*;;
Bullet;1976;*Action, Crime, Thriller*;Vijay Anand;*Dev Anand,Parveen Babi,Rakesh Roshan*;6.9;75
Bullet: Ek Dhamaka;2005;*Action, Drama*;Irfan Khan;*Saayli Buva,Natalya Gudkova,Iqbal Khan*;3.6;49
Bullett Raja;2013;*Action, Crime, Drama*;Tigmanshu Dhulia;*Saif Ali Khan,Sonakshi Sinha,Vidyut Jammwal*;5;"3;787"
Bulund;1993;*Action*;M.R. Shahjahan;*Somy Ali,Mohnish Bahl,Laxmikant Berde*;5.7;138
Bulundi;1981;*Action, Crime, Drama*;Esmayeel Shroff;*Helen,Asha Parekh,Raaj Kumar*;6.6;106
Bumbai Bird;2017;*Drama*;Kamal Musale;*Rohit Pathak,Rajiv Ranjan,Kanupriya Sharma*;;
BumBoo;2016;*Comedy*;Madhav Mehta;*Sukhmani Lamba,Rahul Tewari,Farhad Colabavala*;;
Bumboo;2012;*Comedy*;Jagdish Rajpurohit;*Kavin Dave,Sharat Saxena,Sanjay Mishra*;6;982
Bumm Bumm Bole;2010;*Drama, Family, Thriller*;Priyadarshan;*Atul Kulkarni,Rituparna Sengupta,Darsheel Safary*;6.1;616
Bumper Draw;2015;*Comedy*;Irshad Khan;*Rajpal Yadav,Omkar Das Manikpuri,Subrat Dutta*;4.8;41
Bundal Baaz;1976;*Comedy, Fantasy, Romance*;Shammi Kapoor;*Rajesh Khanna,Shammi Kapoor,Sulakshana Pandit*;6.6;56
Bungalow No. 666;2020;**;;*,,*;;
Bunglow No. 666;1990;*Horror*;Abhilasha;*Kapil Karzan,Disco Shanti,*;;
Buniyaad;1972;*Drama, Family*;Virendra Sinha;*Rakesh Roshan,Shatrughan Sinha,Yogeeta Bali*;5.7;6
Bunker;2020;*Drama, War*;Jugal Raja;*Abhijeet Singh,Arindita Kalita,Gaurav Gupta*;6.8;82
Bunnu K. Endo Maye;2020;*Drama, Fantasy, Mystery*;Ramchandra P.N.;*Chitrra Jetliy,Vinnay Vishwaa,*;;
Bunty Aur Babli;2005;*Comedy, Crime, Drama*;Shaad Ali;*Abhishek Bachchan,Rani Mukerji,Amitabh Bachchan*;6.2;"6;550"
Bunty Aur Babli 2;2021;*Romance*;Varun V. Sharma;*Rani Mukerji,Saif Ali Khan,Pankaj Tripathi*;;
Bura Aadmi;1982;*Action*;Desh Gautam;*Heena Kausar,Mahesh Kumar,Pradeep Kumar*;;
Burhan vs afspa;2019;*Thriller*;Shahid Kazmi;*Fezan Khan,Tariq Imtyaz,Mushtaq Ali*;;
Burmah Road;1962;*Romance*;Tara Harish;*Ashok Kumar,Sheikh Mukhtar,Kumkum*;6.1;8
Bus Conductor;1959;*Drama*;Dwarka Khosla;*Shyama,Prem Nath,Amarnath*;;
Bus Ek Baar;1994;*Romance*;R. Mittal;*Rajan Haksar,Bharat Kapoor,Pinchoo Kapoor*;;
Business Is People;1976;**;Bhimsain;*,,*;;
But What Was She Wearing?;2018;*Documentary*;Vaishnavi Sundar;*,,*;;
Butterfly Chase;2006;*Drama*;Mahesh Ginnilaal;*Diwakar Pundir,Vijay Raj,Yashpal Sharma*;;
Buzdil;1951;*Drama, Family*;Shaheed Latif;*Prem Nath,Nimmi,Kishore Sahu*;6.4;8
Bye Bye Miss Goodnight;2005;*Comedy, Drama*;Karan Kandhari;*Neha Dubey,Zafar Karachiwala,Rajpal Yadav*;6.1;16
Bye2;2020;*Drama, Romance*;Tanveer Hashmi;*Karan,Shreya Tyagi,*;8.1;29
Bypass Road;2019;*Drama, Mystery, Thriller*;Naman Nitin Mukesh;*Neil Nitin Mukesh,Adah Sharma,Gul Panag*;5.4;890
C Kkompany;2008;*Comedy, Drama, Thriller*;Sachin Yardi;*Tusshar Kapoor,Anupam Kher,Rajpal Yadav*;5.4;"1;037"
C U at 9;2005;*Drama, Horror, Mystery*;Marion Rodrigues;*Isaiah,Malavikka,Kanksha*;4.1;66
C.I.D.;1956;*Action, Crime, Musical*;Raj Khosla;*Dev Anand,Shakila,Johnny Walker*;7.3;647
C.I.D.;1990;*Action, Drama*;Ajay Goel;*Vinod Khanna,Amrita Singh,Suresh Oberoi*;4.7;65
C.I.D. 909;1967;*Action, Crime, Drama*;Mohammed Hussain;*Feroz Khan,Mumtaz,Helen*;5.8;17
C.I.D. Girl;1959;*Crime, Mystery*;Ravindra Dave;*Geeta Bali,Balraj Sahni,Subbiraj*;;
C.I.D. Silk;1986;*Action*;Anuradha;*Sathaar,Silk Smitha,*;;
Caaravaan;1999;*Action*;Kanti Shah;*,,*;;
Cabaret;2019;*Drama, Musical, Thriller*;Kaustav Narayan Niyogi;*Akshay Anand,Richa Chadha,Gulshan Devaiah*;3.4;175
Calapor;2013;*Drama*;Dinesh P. Bhonsle;*Hemant Gopal,Rituparna Sengupta,Akash Sharma*;4.5;6
Calcutta After Midnight;1938;*Drama*;Abdul Rehman Kabuli;*,,*;;
Calcutta Mail;2003;*Action, Drama, Mystery*;Sudhir Mishra;*Anil Kapoor,Rani Mukerji,Manisha Koirala*;5.7;480
Calendar Girls;2015;*Drama*;Madhur Bhandarkar;*Akanksha Puri,Avani Modi,Kyra Dutt*;4.2;862
Call;2000;*Action, Drama, Romance*;Rajkumar Santoshi;*Anil Kapoor,Madhuri Dixit,Namrata Shirodkar*;6.8;"2;236"
Call for Fun;2017;*Comedy*;Janak Toprani;*Priyanka Arya,Charu Asopa,Yash Chaturvedi*;5.6;36
Call Girl;1974;*Drama, Family, Romance*;Vijay Kapoor;*Zaheera,Vikram Makandar,Iftekhar*;6.6;24
Camp Decent;;*Comedy*;Sandeep Kumar Rana;*Brijendra Kala,Sara Khan,Rajpal Yadav*;;
Campus;2005;*Romance*;Clive Dev;*RajasekarDop,Venki,Vettri*;;
Campus;;**;;*,,*;;
Campus;2000;*Romance*;Shefali Shah;*Aryan Vaid,Arif Zakaria,*;;
Campus;2000;*Romance*;;*,,*;;
Cancer aur Gupt Rog;1981;*Drama*;;*,,*;;
Cant Stay Down;2018;*Sport*;Safura Ubaid;*,,*;;
Cape Karma;2007;*Drama, Mystery, Thriller*;Pankaj Advani;*Rahul Dev,Audrie Woodhouse,Gulshan Grover*;4.2;141
Captain Azad;1964;*Action*;Hameed;*Azaad Irani,Ram Rasila,G.P. Sippy*;;
Captain Barry;1984;*Action*;Surjit Gill;*Sunil Dhawan,Uma Dhawan,Benjamin Gilani*;3.2;5
Captain Bhawani;1999;*Action*;Kodi Ramakrishna;*Vinod Kumar,Kota Srinivasa Rao,Raghunath Reddy*;;
Captain India;1960;*Action*;Kamran;*Krishna Kumari,Rajan Kapoor,Baburaje*;;
Captain Karan;1978;*Action*;;*,,*;;
Captain Kirti Kumar;1937;**;Chimanlal Luhar;*Motilal,,*;;
Captain Kishore;1940;*Action, Comedy*;K. Amarnath;*S. Nazir,Lalita Pawar,Yasmin*;;
Captain Kishore;1957;*Action, Thriller*;J.B.H. Wadia;*Suresh,Vijaya Choudhury,Shashikala*;;
Captain Nagarjuna;1986;*Drama, Romance*;Rajendra Prasad V.B.;*Nagarjuna Akkineni,Kushboo,Dubbing Janaki*;6.5;13
Captain Nawab;;*Action, Drama, Thriller*;Anthony D'Souza;*Arvind Singh Rajpoot,Emraan Hashmi,Malvika Raaj*;;
Captain Prabhakaran;1991;*Action, Thriller*;R.K. Selvamani;*Mansoor Ali Khan,Sarath Kumar,Ramya Krishnan*;7;212
Captain Sheroo;1963;**;Dharam Kumar;*Helen,Paidi Jairaj,Niranjan Sharma*;;
Captain Shiva;1996;*Action*;Kodi Ramakrishna;*Sarath Babu,Sarath Kumar,Raghuvaran*;;
Captain Vidyut;2020;*Animation, Action, Comedy*;Atish Tripathi;*Namit Das,Trisha Kale,Suresh Menon*;7.7;11
Car Thief;1986;*Action*;Sameer Malkan;*Suneil Anand,Vijayata Pandit,Kevin Mukherji*;7;13
Caravan;1944;**;Aspi Irani;*Arun,Kesari,Sylvie St. Clair*;;
Caravan;1971;*Action, Comedy, Musical*;Nasir Hussain;*Asha Parekh,Jeetendra,Aruna Irani*;6.8;260
Caravan;1956;**;Rafiq Rizvi;*Hiralal,Yashodra Katju,Mahipal*;;
Care of Footpath;2009;*Drama, Family*;Kishan Shrikanth;*Kishan Shrikanth,Jayashree Basavaraj,Jackie Shroff*;7.2;42
Careless;2020;*Drama*;Alokk Srivastava;*Shefali Dan,Shravani Goswami,Ramesh Goyal*;;
Cargo;2019;*Drama, Fantasy, Sci-Fi*;Arati Kadav;*Vikrant Massey,Shweta Tripathi,Nandu Madhav*;5.7;"2;589"
Carnival Queen;1955;*Action*;Noshir Engineer;*Fearless Nadia,John Cawas,Habib*;;
Carry on Papa;2003;*Comedy*;Shireesh Sharma;*Kim Taggart,,*;;
Cartography of Loneliness;2011;*Documentary, Biography*;Nocem Collado;*,,*;6.2;5
Case of Bisarpani;2015;*Horror*;Abhishek Paul;*Abhishek Paul,Pallavi Singh,Himanshu Kukreja*;;
Cash;2007;*Action, Crime, Thriller*;Anubhav Sinha;*Ajay Devgn,Sunil Shetty,Zayed Khan*;3.4;"1;859"
Cash hai to aish hai;;*Comedy*;Manish Vatssalya;*Jimmy Sheirgill,Yuvika Chaudhary,Vrajesh Hirjee*;;
CC2C;2009;*Action, Adventure, Comedy*;Nikkhil Advani;*Akshay Kumar,Deepika Padukone,Chia-Hui Liu*;4.1;"8;102"
Cecilia;2015;*Documentary*;Pankaj Johar;*Cecilia,Pankaj Johar,Rishi Kant*;7.9;31
Celluloid Man;2012;*Documentary*;Shivendra Singh Dungarpur;*U.R. Ananthamurthy,G. Ananthappa,Beena Antony*;7.8;162
Censor;2001;*Drama*;Dev Anand;*Dev Anand,Hema Malini,Shammi Kapoor*;3.5;122
Cha Cha Cha;1964;*Musical, Romance*;Chandrashekhar;*Chandrashekhar,Helen,Om Prakash*;5.2;21
Chaahat;1996;*Drama, Romance*;Mahesh Bhatt;*Naseeruddin Shah,Shah Rukh Khan,Pooja Bhatt*;5.5;"2;676"
Chaahat Ek Nasha...;2005;*Drama, Romance, Thriller*;Surya Prakash;*Jayprakkash Shaw,Aryan Vaid,Manisha Koirala*;3.9;74
Chaahat Ki Lahariyon;2001;*Romance*;;*,,*;;
Chaahat Ki Raat;2005;*Thriller*;;*,,*;;
Chaal Baaz;1980;*Action*;Hari Mehra;*Deepak Khanna,Jaya Kausalya,Nadira*;;
Chaalbaaz;1989;*Action, Comedy, Drama*;Pankaj Parashar;*Sridevi,Sunny Deol,Rajinikanth*;6.8;"1;489"
Chaalbaaz;2003;*Action*;Gautam Verma;*Rajat Bedi,Mithun Chakraborty,Dinesh Hingoo*;5.8;17
Chaalbaaz Haseena;2002;*Thriller*;Meenukumar;*Salomi,Shakeela,Vetri*;;
Chaalbaaz in London;2022;*Comedy*;Pankaj Parashar;*Shraddha Kapoor,,*;;
Chaalbaaz Leader;1970;*Drama*;Ajit Singh;*Bharathi,Bharati,Bharti*;;
Chaalis Chauraasi;2012;*Comedy, Crime*;Hriday Shetty;*Naseeruddin Shah,Kay Kay Menon,Atul Kulkarni*;6.1;474
Chaalu Mera Naam;1977;*Action, Crime*;Krishna Naidu;*Vinod Mehra,Vidya Sinha,Mahendra Sandhu*;5.8;5
Chaalu Pe Chaalu;1989;**;Krishna Ghattamaneni;*Jayamalini,Sridevi,*;4.3;11
Chaand Kaa Tukdaa;1994;*Action, Comedy, Crime*;Saawan Kumar Tak;*Sridevi,Salman Khan,Anupam Kher*;4;603
Chaani;1977;*Drama*;Shantaram Rajaram Vankudre;*Ranjana,Siddharth,Yashwant Dutt*;7.7;26
Chaar Cutting;2015;*Comedy, Drama*;Anuj Gulati;*Vijayeta Kumar,Hardik Mehta,Vivek Soni*;;
Chaar Din Ki Chandni;2012;*Comedy, Romance*;Samir Karnik;*Tusshar Kapoor,Kulraj Randhawa,Anupam Kher*;4.1;393
Chaar Maharathi;1985;*Action*;S. Waris Ali;*Tina Ambani,Master Bunty,Mithun Chakraborty*;4.5;8
Chaar Sahibzaade 2: Rise of Banda Singh Bahadur;2016;*Animation*;Harry Baweja;*Harman Baweja,Pawan Kalra,Om Puri*;8.6;656
Chaarfutiya Chhokare;2014;*Drama, Thriller*;Manish Harishankar;*Soha Ali Khan,Zakir Hussain,Seema Biswas*;5.9;38
Chabuk Sawar;1937;*Action*;Udwadia;*Gohar,Jayakumar,Nurjahan*;;
Chabukwali;1938;**;A.M. Khan;*Kamlabai Gokhale,,*;;
Chabukwali;1959;*Action*;Mehroo Bai;*Samar Roy,,*;;
Chacha Bhatija;1977;*Action, Comedy, Drama*;Manmohan Desai;*Dharmendra,Hema Malini,Randhir Kapoor*;5.8;213
Chacha Chowdhury;1953;*Drama, Family*;Raja Paranjpe;*Shashikala,Kamal Mehra,Durga Khote*;;
Chacha Zindabad;1959;*Comedy*;J. Om Prakash;*Kishore Kumar,Anita Guha,Master Bhagwan*;7.2;12
Chachi 420;1997;*Comedy, Drama, Family*;Kamal Haasan;*Kamal Haasan,Amrish Puri,Om Puri*;7.4;"12;575"
Chadhti Jawani;2004;*Thriller*;Anjali Arora;*Anil Nagrath,Parineeta,Iqbal Raja*;;
Chahat;1971;*Drama, Romance*;Moni Bhattacharjee;*Biswajit Chatterjee,Mala Sinha,Jeetendra*;5.8;10
Chahat Ya Nasha: The Dark Addiction;;*Drama, Romance*;Sameer Bhatnagar;*Neha Bose,Sanjeev Kumar,Preety Sharma*;;
Chahoonga Main Tujhe;1993;*Drama, Romance*;Kamal;*Kamal Master,Shafi Inamdar,Irfan Kamal*;6.3;12
Chahungi Tujbe Bar Bar;1989;**;B.K. Rao;*Aruna Irani,Jainendra,Akbar Khan*;;
Chai Coffee;2019;*Drama, Romance*;Ayush Upadhyay;*Ayush Upadhyay,Mansi Singh,Megha Jha*;7.9;11
Chai Garam;2011;*Comedy*;Aditya Dutt;*Esha Deol,Govinda,Ravi Shankar Jaiswal*;;
Chai Ki Dukan;;*Drama*;Salil Singh;*Razia Khanam,Salil Singh,Pratibha Janmeda*;;
Chai Pani Etc.;2004;*Comedy*;Manu Rewal;*Konkona Sen Sharma,Zafar Karachiwala,Gaurav Kapoor*;4.7;24
Chai Shai Biscuits;;*Comedy*;Himanshu Bhatnagar;*Shraddha Das,Sheeba Chaddha,Shishir Sharma*;;
Chain Kulii Ki Main Kulii;2007;*Comedy, Drama, Family*;Karanjeet Saluja;*Zain Khan,Rahul Bose,Kapil Dev*;5.6;"1;214"
Chaitali;1975;*Drama*;Hrishikesh Mukherjee;*Dharmendra,Saira Banu,Bindu*;6;39
Chak De! India;2007;*Drama, Family, Sport*;Shimit Amin;*Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge*;8.2;"75;790"
Chakachak;2005;*Drama*;Sai Paranjape;*Asrani,Veeni Paranjape Joglekar,Javed Khan*;3.9;7
Chakallaspur;2017;*Drama*;Rajnish Jaiswal;*Muntazir Ahmad,Krishna Singh Bisht,Urmila Mahanta*;;
Chakkar;2017;*Comedy, Drama, Family*;Ramveer Tomar;*Rajender Kashyap,Uttar Kumar,Lovely Sharma*;;
Chakkar Pe Chakkar;1977;*Action, Comedy, Crime*;Ashok Roy;*Shashi Kapoor,Rekha,Pran*;5.6;27
Chakma;1984;*Comedy*;N.N. Shukla;*Shashi Kapoor,Vinod Mehra,Sulakshana Pandit*;;
Chakori;1949;*Romance*;Ram Narayan Dave;*Bharat Bhushan,Cuckoo,Nalini Jaywant*;;
Chakra;1981;*Action*;Rabindra Dharmaraj;*Savita Bajaj,Arun Bakshi,Suresh Bhagwat*;6.8;141
Chakra the Invincible;2013;*Action*;Vikramaditya Motwane;*,,*;6.4;19
Chakradhaar;2012;*Action*;Dharam Prakash;*Shakur Sir,Abishek Anand,Zakir Hussain*;4.2;28
Chakradhari;1954;*Drama, Fantasy*;Raman B. Desai;*Nirupa Roy,Trilok Kapoor,Shahu Modak*;;
Chakravarty Vikramaditya;1964;*Fantasy*;Anjali Devi;*S.V. Ranga Rao,N.T. Rama Rao,*;;
Chakravyuh;2012;*Action, Drama, Thriller*;Prakash Jha;*Arjun Rampal,Abhay Deol,Manoj Bajpayee*;6.8;"3;089"
Chakravyuh;1996;*Drama*;Mazahir Rahim;*Jaya Bhattacharya,Rashmi Gulati,Sudhanshu Mohan*;;
Chakravyuha;1978;*Action, Mystery, Thriller*;Basu Chatterjee;*Rajesh Khanna,Neetu Singh,Vinod Mehra*;6.4;40
Chal Baaz;1958;*Action*;Nanabhai Bhatt;*Nirupa Roy,Paidi Jairaj,Nishi*;6;8
Chal Bhaag;2014;*Comedy*;Prakash Saini;*Deepak Dobriyal,Taran Bajaj,Keeya Khanna*;3.8;101
Chal Chal Re Navjavan;1944;**;Gyan Mukherjee;*Naseem Banu,Rafiq Ghaznavi,Ashok Kumar*;;
Chal Chala Chal;2009;*Action, Comedy, Crime*;Rajeev Kumar;*Asrani,Asif Basra,Kaluram Dhobale*;4.6;292
Chal Chalein;2009;*Drama*;Ujjwal Singh;*Javed Abedi,Anand Abhyankar,Adityansh*;6.3;26
Chal Doctor Doctor Khelein;;*Comedy*;Saurabh Malik;*Sonel Singh,Saurabh Malik,Heera Pulkit*;;
Chal Guru Ho Jaa Shuru;2015;*Comedy*;Manoj Sharma;*Pawan Kumar Sharma,Vrajesh Hirjee,Brijendra Kala*;4.9;45
Chal Jaa Bapu;2018;*Comedy, Drama, Family*;Dedipya Joshii;*Hrishitaa Bhatt,Radha Bhatt,Dev Chauhan*;;
Chal Kanvariya Shiv Ke Dham;1996;*Drama*;Shantilal Soni;*Beena Bannerjee,Kavita Lad,Sanjay Mitra*;;
Chal Mere Bhai;2000;*Comedy, Romance*;David Dhawan;*Sanjay Dutt,Salman Khan,Karisma Kapoor*;4.7;"3;128"
Chal Pichchur Banate Hain;2012;*Comedy, Drama*;Pritish Chakraborty;*Sonam Arora,Sagar Bhangade,Mukesh S. Bhatt*;6.1;47
Chala Murari Hero Banne;1977;*Comedy, Musical, Romance*;Asrani;*Asrani,Bindiya Goswami,Satyendra Kapoor*;7;66
Chala Mussaddi - Office Office;2011;*Comedy, Drama*;Rajiv Mehra;*Deven Bhojani,Makrand Deshpande,Vinay Jain*;6.1;346
Chalaak;1973;*Action, Crime, Drama*;R.K. Bannerjee;*T.N. Sharma,Kiran Kumar,Alka*;5.6;7
Chalak;2005;*Action*;Raj N. Sippy;*Divya Diwedi,Diveyaa Dwivedi,Rinku Ghosh*;;
Chalak Chor;1936;**;Raja Sandow P.K.;*Noor Mohammad Charlie,,*;;
